Year,Week,<500,500-524,525-549,550-574,575-599,600-624,625-649,650-674,675-699,700-724,725-749,750+,<250,250-274,275-299,300-324,325-349,350-374,375-399,400-424,425-449,450-474,475-499,600+,<300,300-349,350-399,400-449,450-499,500-549,550-599,600-649,650-699,700-749,750-799,800+,<450,750-774,775-799,<100,100-109,110-119,120-129,130-139,140-149,150-159,160-169,170-179,180-189,190-199,200-209,210-219,220-229,230-239,240-249,250+,<800,800-824,825-849,850-874,875-899,900-924,925-949,950-974,975-999,1000-1024,1025-1049,1050-1074,1075-1099,1100+,800-849,850-899,900-949,950-999,1000+,<400,700+,125–149,150–174,175–199,200–224,225–249,250–274,275–299,300–324,325–349,350–374,375–399,400+,100–124,550+,900+,650+,<200,200-224,225-249,450+
2025,3,,0.05374074074074074,0.04212962962962963,,,,,,,,,,,,,0.08876851851851851,0.0868148148148148,0.09509259259259259,0.1075,0.11592592592592592,0.0974074074074074,0.07910185185185184,0.06334259259259259,,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08857407407407408,,,,,,
2025,4,,0.014825581395348836,0.012322674418604651,,,,,,,,,,0.14037037037037037,0.10731481481481481,0.11305555555555556,0.1980213414634146,0.19799999999999998,0.11319186046511628,0.06621220930232559,0.05213953488372093,0.03703779069767442,0.026130813953488374,0.02013953488372093,,0.29557692307692307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012660818713450293,,,,,,
2025,5,,0.0018162393162393163,0.0015042735042735042,,,,,,,,,,0.4384952380952381,0.16831927710843372,0.16634795321637427,0.08043274853801169,0.049897660818713455,0.04604093567251462,0.04173684210526316,0.04143859649122807,0.040128654970760236,0.002914529914529915,0.0019871794871794872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015940170940170941,,,0.01787037037037037,0.020009259259259258,0.030370370370370374,0.2733333333333333
2025,6,0.09112037037037037,0.06837068965517241,0.0629864864864865,0.08010759493670887,0.09725568181818182,0.14564444444444444,0.20971938775510207,0.23703,0.1162,0.06333,0.03463,0.02891,,0.001880952380952381,0.0029583333333333336,0.004878787878787879,0.008902777777777779,0.011420454545454544,0.019869565217391305,0.03601960784313726,0.04791525423728814,,,,0.014074074074074074,0.02149074074074074,0.03980555555555556,0.07128703703703704,0.11296296296296296,0.14944444444444446,0.1576851851851852,0.16185185185185186,0.14722222222222223,0.08339814814814815,0.04375925925925926,0.025750000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005,0.0005454545454545455,0.0011666666666666668,0.8841610169491526
2025,7,0.30814814814814817,,,,,,,,,,,,,,,,,,,,,,,,0.0008,0.001142857142857143,0.0017391304347826088,0.00438235294117647,0.009802631578947368,0.08896078431372549,0.07958558558558558,0.0763483606557377,0.08155343511450382,0.08301094890510949,0.0974931506849315,0.6514402173913043,,,,,,,,,,,,,,,,,,,,,0.0975,0.09640425531914892,0.09383928571428571,0.21838059701492538,0.20630597014925373,0.15534328358208954,0.12301492537313434,0.08240441176470589,0.048,0.028169117647058824,0.02008823529411765,0.012580882352941178,0.01488970588235294,0.014875000000000001,0.04699074074074074,0.0342037037037037,0.014361111111111111,0.010527777777777778,0.009370370370370371,,,,,,,,,,,,,,,,,,,,,,
2025,8,0.11195,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009916666666666666,0.017537037037037035,0.09405960264900662,0.1324753086419753,0.2866104651162791,0.1573982558139535,0.08159011627906977,0.06258430232558139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05604941860465116,0.043215116279069765,0.0024576271186440676,0.0018220338983050846,0.0027584745762711865,0.010750000000000001,,,,,,,,,,,,,,,,0.13455555555555557,,,,,
2025,9,0.13037037037037036,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003806451612903226,0.0057051282051282055,0.0679368932038835,0.06623873873873874,0.06420833333333334,0.06712585034013606,0.10331212121212122,0.2580664739884393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16976011560693643,0.1306791907514451,0.022305555555555554,0.013546296296296298,0.012657407407407407,0.001086206896551724,,,,,,,,,,,,,,,,0.15299579831932772,,,,,
2025,10,0.034983695652173914,0.10583333333333333,0.09814814814814815,0.09601851851851853,0.0862962962962963,0.06953703703703704,0.05184259259259259,0.036166666666666666,0.026907407407407408,0.01712037037037037,0.013212962962962963,,,,,,,,,,,0.11583333333333333,0.10657407407407407,,,,,,,0.12357964601769912,0.4087606837606838,0.20681196581196581,0.12165384615384615,0.06331196581196581,0.031726495726495725,0.01363888888888889,0.1809259259259259,0.010351851851851853,0.008657407407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01205128205128205,0.004256410256410256,0.0029059829059829055,0.002017094017094017,0.0018504273504273503,,,,,,,,,,,,,,,,,,,,,,
2025,11,,0.26203197674418605,0.16320348837209303,0.09371220930232559,0.05766279069767442,0.03261337209302326,0.018648255813953487,0.01120639534883721,0.007433139534883721,0.003228448275862069,0.0024913793103448273,,,,,,,,,0.07478571428571427,0.09705357142857143,0.10044062499999999,0.1398892215568862,,,,,,,,,,,,,0.0019051724137931034,0.10292222222222222,0.0018232758620689655,0.0016681034482758622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07436607142857143,0.017330357142857144,,,,,,,,,,,,,,,,,,,,
2025,12,,0.05515204678362574,0.04117543859649123,0.03292690058479532,0.021353801169590642,0.013330409356725147,0.010108187134502924,0.0012801724137931033,0.0010517241379310344,,,,,,,0.013563636363636363,0.019672727272727276,0.03301818181818182,0.05507272727272727,0.15524539877300614,0.22989473684210526,0.13904970760233917,0.0759327485380117,,0.017845454545454546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3293673469387755,0.0012586206896551724,,,,,,,,,,,,,,,,0.038318181818181814,,,,
2025,13,,0.13861337209302327,0.08503197674418606,0.05480232558139535,0.03053197674418605,0.01814825581395349,0.01026453488372093,,,,,,,,,0.0076,0.011328125,0.01744776119402985,0.03281418918918919,0.060173202614379084,0.10377777777777779,0.23871005917159763,0.24155523255813954,,0.012679611650485437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012950581395348838,,,,
2025,14,,0.02953235294117647,0.015114705882352942,0.009447058823529413,0.0056117647058823526,0.0028663793103448276,0.0019224137931034484,,,,,,0.19787962962962963,0.12209259259259259,0.11546296296296298,0.049066037735849055,0.14406176470588236,0.139266081871345,0.11585882352941178,0.1274735294117647,0.10619117647058822,0.08067941176470589,0.05241764705882353,0.008814814814814815,0.004436046511627907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025256410256410257,,,,
2025,15,,0.0010085470085470086,0.0008577586206896552,0.000717948717948718,0.0007155172413793104,,,,,,,,0.8405560344827587,0.0650982905982906,0.036764957264957265,0.024288793103448274,0.012247863247863248,0.0064482758620689655,0.003534188034188034,0.00290948275862069,0.0021324786324786326,0.0015603448275862068,0.0013376068376068377,0.0006666666666666666,,,,,,,,,,,,,,,,0.01,0.008414893617021277,0.023520408163265307,0.04611666666666667,0.07539516129032259,0.098046875,0.10876470588235296,0.15685465116279068,0.15684239130434782,0.19064736842105262,0.07741666666666668,0.04860416666666667,0.0319421052631579,0.026348958333333335,0.021187499999999998,0.01775520833333333,0.1028578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020173640167364018,0.3667491631799163,0.390010460251046,0.16469079497907949,0.04593326359832636,0.011338284518828453,0.003656276150627615,0.001805857740585774,0.001510878661087866,0.0009529288702928869,0.0010489539748953975,0.0005658995815899582,0.0005,,,,,,,
